Dólar estadounidense,USD
Euro,EUR
Yen japonés,JPY
Libra esterlina,GBP
Franco suizo,CHF
Dólar canadiense,CAD
Dólar australiano,AUD
Yuan renminbi,CNY
Dólar neozelandés,NZD
Corona sueca,SEK
Dólar de Singapur,SGD
Won surcoreano,KRW
Corona noruega,NOK
Peso mexicano,MXN
Rupia india,INR
Real brasileño,BRL
Rand sudafricano,ZAR
Lira turca,TRY
Rublo ruso,RUB
Ringgit malayo,MYR
Baht tailandés,THB
Zloty polaco,PLN
Dólar de Hong Kong,HKD
Forinto húngaro,HUF
Corona danesa,DKK
Nuevo séquel,ILS
Peso chileno,CLP
Dirham de los EAU,AED
Peso colombiano,COP
Rupia indonesia,IDR
Peso argentino,ARS
Boliviano,BOB
Dólar guyanés,GYD
Guaraní,PYG
Sol peruano,PEN
Dólar surinamés,SRD
Peso uruguayo,UYU
Bolívar digital,VES
